part_name,part_id,mpn_id,part_price,install_difficulty,install_time,symptoms,product_types,brand,availability,product_url
Refrigerator Led Light And Cover Assembly,PS12172918,WR55X25754,,N/A,N/A,Light not working,Refrigerator.,GE,On Order,https://www.partselect.com/PS12172918-GE-WR55X25754-Refrigerator-LED-Light-and-Cover-Assembly.htm?SourceCode=18
Refrigerator Light Board Assembly,PS11767930,WR55X26671,,Really Easy ,15 - 30 mins ,Light not working,Refrigerator.,GE,In Stock,https://www.partselect.com/PS11767930-GE-WR55X26671-Light-Board-Assembly.htm?SourceCode=18
Refrigerator Light Bulb 10w,PS11739347,WP22002263,,Easy ,30 - 60 mins ,N/A,"Refrigerator, Dryer, Washer Dryer Combo, Wine and Beverage Cooler.",Whirlpool,In Stock,https://www.partselect.com/PS11739347-Whirlpool-WP22002263-Refrigerator-Light-Bulb-10w.htm?SourceCode=18
Refrigerator 40 Watt Bulb,PS17216393,W11679940,,N/A,N/A,N/A,"Refrigerator, Freezer.",Whirlpool,In Stock,https://www.partselect.com/PS17216393-Whirlpool-W11679940-40-WATT-REFRIGERATOR-BULB.htm?SourceCode=18
Refrigerator Fastener Handle Assembly,PS16619453,WR01X39781,,Very Easy ,Less than 15 mins ,Door won’t open or close,Refrigerator.,GE,In Stock,https://www.partselect.com/PS16619453-GE-WR01X39781-Fastener-Handle-Assembly.htm?SourceCode=18
Refrigerator Dryer Retaining Ring,PS11746909,WP9703438,,Easy ,1- 2 hours ,Noisy,"Mixer, Dryer, Refrigerator, Washer Dryer Combo.",Whirlpool,In Stock,https://www.partselect.com/PS11746909-Whirlpool-WP9703438-Dryer-Retaining-Ring.htm?SourceCode=18
Refrigerator Fan Grommet,PS963756,WR02X12008,,Easy ,30 - 60 mins ,Noisy | Fridge too warm | Clicking sound | Freezer section too warm,"Refrigerator, Freezer.",GE,In Stock,https://www.partselect.com/PS963756-GE-WR02X12008-Refrigerator-Fan-Grommet.htm?SourceCode=18
Refrigerator Door Handle Fastener,PS6447735,WR01X11007,,Really Easy ,30 - 60 mins ,Door won’t open or close,"Refrigerator, Range, Dishwasher.",GE,In Stock,https://www.partselect.com/PS6447735-GE-WR01X11007-Refrigerator-Door-Handle-Fastener.htm?SourceCode=18
Refrigerator Evaporator/condensor Fan Grommet,PS284555,WR02X10098,,Easy ,30 - 60 mins ,Noisy | Fridge too warm | Freezer section too warm | Clicking sound,Refrigerator.,GE,In Stock,https://www.partselect.com/PS284555-GE-WR02X10098-Refrigerator-Evaporator-Condensor-Fan-Grommet.htm?SourceCode=18
Refrigerator Clip,PS12731484,5304522259,,Very Easy ,Less than 15 mins ,N/A,"Refrigerator, Freezer.",Frigidaire,In Stock,https://www.partselect.com/PS12731484-Frigidaire-5304522259-Refrigerator-Clip.htm?SourceCode=18
